Date,Price,Open,High,Low,Vol.,Change %
1/1/19,"3,437.20","3,709.50","4,070.50","3,368.20",15.72M,-7.34%
12/1/18,"3,709.40","4,038.70","4,316.10","3,177.00",15.70M,-8.18%
11/1/18,"4,039.70","6,365.90","6,594.30","3,634.20",8.71M,-36.54%
10/1/18,"6,365.90","6,635.20","7,358.40","6,034.90",58.80M,-4.06%
9/1/18,"6,635.20","7,032.40","7,409.90","5,977.00",154.15M,-5.67%
8/1/18,"7,033.80","7,728.50","7,753.20","5,898.30",63.25M,-9.00%
7/1/18,"7,729.40","6,398.50","8,484.60","6,398.50",7.06M,20.79%
6/1/18,"6,398.90","7,502.50","7,775.00","5,785.30",4.78M,-14.71%
5/1/18,"7,502.60","9,245.10","9,992.80","7,069.80",5.04M,-18.85%
4/1/18,"9,245.10","6,939.10","9,753.10","6,460.10",6.22M,33.25%
3/1/18,"6,938.20","10,335.10","11,506.90","6,603.80",7.61M,-32.86%
2/1/18,"10,333.90","10,266.20","11,791.50","5,996.60",8.54M,0.67%
1/1/18,"10,265.40","13,850.50","17,252.80","9,271.30",4.84M,-25.88%
12/1/17,"13,850.40","9,947.10","19,870.60","9,420.90",5.12M,39.25%
11/1/17,"9,946.80","6,449.10","11,417.80","5,493.60",3.96M,54.18%
10/1/17,"6,451.20","4,360.60","6,467.20","4,143.40",2.98M,47.94%
9/1/17,"4,360.60","4,735.10","4,976.50","2,979.90",3.93M,-7.91%
8/1/17,"4,735.10","2,883.30","4,765.10","2,659.60",3.13M,64.23%
7/1/17,"2,883.30","2,480.60","2,932.80","1,809.00",3.75M,16.23%
6/1/17,"2,480.60","2,303.30","2,985.10","2,125.60",3.35M,7.70%
5/1/17,"2,303.30","1,351.90","2,781.80","1,342.80",3.45M,70.38%
4/1/17,"1,351.90","1,079.10","1,358.90",841.5,1.56M,25.28%
3/1/17,"1,079.10","1,189.30","1,330.40",890.4,2.68M,-9.26%
2/1/17,"1,189.30",965.5,"1,211.70",924.7,1.31M,23.18%
1/1/17,965.5,963.4,"1,150.60",739.5,2.21M,0.22%
12/1/16,963.4,742.5,982.6,741.1,1.27M,29.75%
11/1/16,742.5,698.7,755.3,670.4,1.23M,6.27%
10/1/16,698.7,608.1,720.2,606.5,905.66K,14.89%
9/1/16,608.1,573.9,705,569.3,748.55K,5.97%
8/1/16,573.9,621.9,627.9,471.4,1.08M,-7.72%
7/1/16,621.9,670,701.5,605,1.63M,-7.19%
6/1/16,670,528.9,776,521.3,3.55M,26.68%
5/1/16,528.9,448.5,548,435.4,1.66M,17.92%
4/1/16,448.5,415.7,468.9,412.4,1.39M,7.91%
3/1/16,415.7,436.2,439,386.9,1.66M,-4.71%
2/1/16,436.2,369.8,447.6,365.3,1.99M,17.95%
1/1/16,369.8,430,462.9,350.4,2.49M,-13.98%
12/1/15,430,378,467.7,347.2,3.20M,13.75%
11/1/15,378,311.2,492.8,292.4,4.29M,21.44%
10/1/15,311.2,235.9,334.9,234.7,2.28M,31.92%
9/1/15,235.9,229.5,246.4,224.1,1.65M,2.82%
8/1/15,229.5,283.7,285.7,196.3,2.22M,-19.12%
7/1/15,283.7,264.1,315.9,243.2,1.86M,7.42%
6/1/15,264.1,229.8,268.7,221,1.75M,14.91%
5/1/15,229.8,235.8,247.9,228.2,1.64M,-2.52%
4/1/15,235.8,244.1,261.5,214.1,2.07M,-3.43%
3/1/15,244.1,254.1,301,234.8,2.97M,-3.90%
2/1/15,254.1,218.5,264.6,209.7,2.09M,16.27%
1/1/15,218.5,318.2,321.4,157.3,1.56M,-31.34%
12/1/14,318.2,374.9,384.9,303.4,847.29K,-15.12%
11/1/14,374.9,337.9,480.5,319.8,711.11K,10.97%
10/1/14,337.9,388.2,407.7,294.9,569.00K,-12.96%
9/1/14,388.2,481.8,498.5,372.6,295.62K,-19.43%
8/1/14,481.8,589.5,608.2,450,126.17K,-18.28%
7/1/14,589.5,635.1,652.5,564,107.22K,-7.18%
6/1/14,635.1,627.9,676.5,560.8,111.81K,1.15%
5/1/14,627.9,445.6,629,420.2,85.75K,40.90%
4/1/14,445.6,444.7,549,355.7,161.16K,0.22%
3/1/14,444.7,573.9,695.4,262.8,94.27K,-22.53%
2/1/14,573.9,938.8,969.2,91.7,996.35K,-38.87%
1/1/14,938.8,805.9,"1,093.40",771,306.25K,16.49%
12/1/13,805.9,"1,205.70","1,239.90",454.9,920.80K,-33.15%
11/1/13,"1,205.70",211.2,"1,241.90",209.7,1.13M,470.94%
10/1/13,211.2,141.9,233.4,109.7,753.58K,48.82%
9/1/13,141.9,141,148.9,121.3,451.29K,0.64%
8/1/13,141,106.2,148.7,101,604.91K,32.76%
7/1/13,106.2,97.5,111.7,65.4,1.14M,8.92%
6/1/13,97.5,128.8,130.1,88,1.05M,-24.31%
5/1/13,128.8,139.2,140.1,79,2.07M,-7.48%
4/1/13,139.2,93,266,50,4.73M,49.66%
3/1/13,93,33.4,95.7,32.9,2.12M,178.70%
2/1/13,33.4,20.4,34.5,18,1.58M,63.55%
1/1/13,20.4,13.5,21.4,13.2,1.46M,51.07%
12/1/12,13.5,12.6,13.9,12.4,876.92K,7.48%
11/1/12,12.6,11.2,12.6,10.3,804.19K,12.23%
10/1/12,11.2,12.4,13.1,9.7,1.15M,-9.68%
9/1/12,12.4,10.2,12.7,9.7,959.78K,22.05%
8/1/12,10.2,9.4,15.4,7.6,2.45M,8.66%
7/1/12,9.4,6.7,9.7,6.4,1.90M,39.76%
6/1/12,6.7,5.2,6.8,5.2,1.38M,29.15%
5/1/12,5.2,4.9,5.2,4.8,1.24M,4.65%
4/1/12,4.9,4.9,5.5,4.6,1.66M,0.00%
3/1/12,4.9,4.9,5.4,4.3,1.76M,0.00%
2/1/12,4.9,5.5,6.2,3.9,2.84M,-11.31%
1/1/12,5.5,4.7,7.2,4.6,3.21M,16.10%
12/1/11,4.7,3,5,2.6,1.90M,58.92%
11/1/11,3,3.3,3.4,2,1.97M,-8.62%
10/1/11,3.3,5.1,5.3,2,1.73M,-36.77%
9/1/11,5.1,8.2,8.7,4.2,1.49M,-37.32%
8/1/11,8.2,13.4,13.6,5.7,1.22M,-38.58%
7/1/11,13.4,16.1,16.7,11,1.05M,-17.08%
6/1/11,16.1,8.7,31.9,8.3,1.36M,84.21%
5/1/11,8.7,3.5,9.5,2.5,949.02K,149.71%
4/1/11,3.5,0.8,4.2,0.6,868.76K,346.09%
3/1/11,0.8,0.9,1,0.7,243.30K,-8.77%
2/1/11,0.9,0.5,1.1,0.5,367.30K,65.38%
1/1/11,0.5,0.3,0.9,0.3,377.75K,73.33%
12/1/10,0.3,0.2,0.3,0.2,263.65K,44.09%
11/1/10,0.2,0.2,0.5,0.1,826.25K,0.00%
10/1/10,0.2,0.1,0.2,0,1.11M,210.99%
9/1/10,0.1,0.1,0.2,0.1,216.81K,0.00%
8/1/10,0.1,0.1,0.1,0,221.74K,0.00%
